lead_id,required_appliances,estimated_daily_energy_need_kwh,quoted_price_m_toman,purchased
L0001,"pump,lights",10.0,628.7,1
L0002,"lights,TV",2.5,151.0,1
L0003,"lights,fridge,TV",4.5,284.1,0
L0004,"lights,fridge",4.7,286.8,0
L0005,"lights,fridge",5.1,282.2,1
L0006,"AC,fridge,lights",10.9,586.2,0
L0007,"AC,fridge",9.1,378.0,0
L0008,"pump,fridge",11.1,761.7,1
L0009,"lights,TV",2.3,138.7,0
L0010,lights,1.3,96.5,0
L0011,"lights,fridge",3.5,205.4,0
L0012,"lights,fridge",4.0,283.5,0
L0013,"pump,lights",9.1,486.1,0
L0014,"pump,lights",10.2,676.2,1
L0015,"lights,fridge",3.6,238.2,1
L0016,"pump,AC",12.6,723.2,1
L0017,"lights,fridge,TV",4.9,253.1,1
L0018,pump,8.5,621.0,1
L0019,"pump,AC",16.2,693.2,1
L0020,"pump,fridge",9.3,700.1,1
L0021,"lights,TV",2.1,150.7,0
L0022,"pump,lights",10.0,631.5,1
L0023,"pump,fridge",8.4,704.9,1
L0024,"lights,fridge",3.5,236.6,0
L0025,"lights,fridge",5.1,287.7,1
L0026,"pump,lights",9.0,608.7,0
L0027,"lights,TV",2.2,178.6,0
L0028,"lights,fridge,TV",5.9,308.6,1
L0029,lights,1.5,128.1,1
L0030,"lights,fridge,TV",5.2,303.4,1
L0031,"lights,TV",2.4,141.7,1
L0032,"pump,AC",13.6,644.6,1
L0033,"pump,lights",7.3,493.1,0
L0034,lights,1.4,143.0,0
L0035,"lights,fridge",4.4,295.0,0
L0036,"pump,lights",8.9,680.6,1
L0037,pump,8.0,470.4,1
L0038,"AC,fridge,lights",10.1,562.3,0
L0039,"pump,lights",8.5,585.9,0
L0040,pump,7.7,493.5,1
L0041,"pump,lights",8.1,511.4,1
L0042,"pump,AC",11.9,749.3,1
L0043,"lights,TV",1.9,135.2,1
L0044,lights,2.0,157.3,0
L0045,"pump,lights",8.3,517.6,1
L0046,"pump,lights",9.4,644.4,1
L0047,"lights,fridge,TV",5.3,339.0,1
L0048,"pump,fridge",10.1,686.0,1
L0049,"lights,fridge",4.7,283.9,1
L0050,"pump,AC",14.6,729.5,1
L0051,"pump,lights",10.1,745.5,1
L0052,"lights,fridge",4.8,307.3,1
L0053,"pump,AC",12.6,795.0,1
L0054,"AC,fridge",9.9,540.3,0
L0055,"pump,AC",13.0,669.0,1
L0056,"lights,TV",1.9,146.8,1
L0057,"AC,fridge",9.5,498.5,0
L0058,"pump,lights",9.7,729.3,1
L0059,"lights,fridge,TV",6.1,318.5,1
L0060,"lights,fridge",4.6,303.7,0
L0061,"AC,fridge",8.9,471.8,0
L0062,pump,8.7,465.5,0
L0063,"lights,TV",2.8,145.9,0
L0064,"pump,lights",10.3,700.2,0
L0065,"pump,lights",7.6,547.0,0
L0066,pump,10.4,625.7,0
L0067,"AC,fridge",9.4,472.3,1
L0068,"lights,fridge",5.0,280.5,1
L0069,"pump,AC",13.5,741.9,1
L0070,"pump,lights",9.3,564.2,0
L0071,"pump,lights",9.3,633.5,0
L0072,"lights,TV",2.6,200.0,0
L0073,"lights,fridge,TV",5.0,296.4,0
L0074,"AC,fridge,lights",12.6,693.6,0
L0075,lights,1.3,137.6,0
L0076,"lights,TV",3.1,200.0,0
L0077,"pump,fridge",8.1,562.7,1
L0078,"pump,fridge",8.4,561.6,1
L0079,"lights,fridge,TV",6.2,377.6,0
L0080,"lights,fridge",3.5,240.3,1
L0081,"AC,fridge,lights",12.5,679.0,1
L0082,"pump,lights",8.6,555.3,1
L0083,"lights,TV",2.4,143.6,1
L0084,"pump,fridge",9.5,555.1,1
L0085,"lights,fridge,TV",5.9,323.0,1
L0086,"AC,fridge,lights",11.7,637.7,0
L0087,"lights,fridge",4.3,294.3,0
L0088,lights,1.5,126.1,1
L0089,"AC,fridge",8.4,464.5,1
L0090,"pump,lights",7.7,553.6,1
L0091,"pump,AC",15.9,830.0,1
L0092,"pump,AC",15.4,817.2,1
L0093,"pump,lights",7.7,482.6,1
L0094,pump,7.9,539.3,0
L0095,"AC,fridge",12.0,657.2,0
L0096,pump,9.6,610.3,1
L0097,"lights,fridge,TV",6.3,348.0,1
L0098,"AC,fridge",10.3,525.8,0
L0099,"AC,fridge,lights",11.3,639.5,1
L0100,"lights,fridge,TV",5.5,286.7,0
L0101,"pump,lights",9.2,585.1,1
L0102,"lights,fridge",4.9,297.9,1
L0103,"lights,fridge,TV",4.8,279.7,1
L0104,"pump,fridge",10.7,702.8,1
L0105,lights,1.9,190.8,0
L0106,"AC,fridge,lights",13.2,705.2,0
L0107,"pump,fridge",8.2,595.5,0
L0108,"lights,fridge",4.3,275.8,0
L0109,"pump,fridge",8.5,577.7,0
L0110,pump,6.8,564.5,1
L0111,"lights,fridge,TV",4.7,283.6,1
L0112,pump,9.2,468.6,1
L0113,"pump,fridge",12.5,848.0,1
L0114,"lights,fridge",3.5,225.8,0
L0115,"pump,lights",10.2,629.9,1
L0116,"lights,fridge",4.8,324.9,1
L0117,pump,7.7,484.7,1
L0118,"pump,lights",9.4,627.7,0
L0119,"pump,fridge",8.6,626.5,1
L0120,"pump,fridge",10.2,576.5,0
L0121,pump,8.0,593.2,1
L0122,"lights,TV",2.5,157.5,0
L0123,"AC,fridge,lights",11.0,568.3,1
L0124,"lights,fridge",4.7,310.7,0
L0125,"AC,fridge",8.7,439.5,1
L0126,"pump,fridge",8.8,709.4,0
L0127,"pump,fridge",9.3,544.2,1
L0128,pump,8.4,581.0,1
L0129,"lights,fridge,TV",5.2,303.6,0
L0130,"pump,fridge",9.5,780.4,1
L0131,"pump,AC",12.1,718.7,1
L0132,"lights,TV",1.7,144.0,0
L0133,"lights,fridge,TV",4.8,271.7,0
L0134,"AC,fridge",7.9,363.3,1
L0135,"lights,fridge,TV",4.9,297.1,0
L0136,"pump,lights",7.2,484.6,0
L0137,"pump,AC",16.2,761.5,1
L0138,pump,7.9,468.9,1
L0139,pump,8.9,559.7,0
L0140,pump,6.2,436.8,0
L0141,"lights,fridge",5.5,327.7,1
L0142,"lights,fridge,TV",5.1,241.8,0
L0143,pump,8.4,513.5,1
L0144,"pump,fridge",8.1,547.1,1
L0145,"pump,lights",10.8,670.9,1
L0146,"pump,lights",9.0,668.3,1
L0147,"pump,fridge",10.2,608.3,1
L0148,"AC,fridge,lights",11.8,589.9,1
L0149,"lights,fridge,TV",6.4,375.5,0
L0150,lights,2.1,158.8,0
L0151,pump,8.0,570.6,1
L0152,"AC,fridge",9.8,455.4,0
L0153,"pump,fridge",11.2,696.1,0
L0154,"AC,fridge,lights",11.9,615.4,1
L0155,"lights,fridge,TV",5.1,292.4,1
L0156,"pump,fridge",10.4,707.1,0
L0157,"lights,fridge",4.4,274.6,1
L0158,"AC,fridge",10.6,620.8,0
L0159,"lights,fridge",4.4,290.8,1
L0160,pump,9.0,637.4,1
L0161,pump,10.0,627.5,1
L0162,"pump,lights",8.1,592.0,1
L0163,"lights,fridge",5.5,332.2,1
L0164,"lights,fridge",4.2,290.1,0
L0165,"pump,lights",8.2,610.0,0
L0166,"pump,fridge",11.1,833.9,1
L0167,"lights,fridge",5.3,314.8,0
L0168,"pump,lights",7.6,568.4,1
L0169,"lights,fridge,TV",6.4,336.2,0
L0170,"AC,fridge",10.7,556.4,0
L0171,"pump,fridge",10.1,722.3,1
L0172,"pump,lights",9.9,639.2,1
L0173,"pump,fridge",11.5,833.4,1
L0174,"pump,fridge",10.1,612.3,1
L0175,lights,2.1,190.8,0
L0176,"pump,lights",7.7,523.7,1
L0177,"lights,TV",2.4,175.7,1
L0178,"pump,lights",8.0,496.1,1
L0179,"lights,fridge",3.5,231.2,1
L0180,"AC,fridge",10.8,585.4,1
L0181,"lights,fridge",5.0,256.3,1
L0182,"pump,lights",8.7,581.1,1
L0183,"lights,TV",2.4,134.2,0
L0184,"pump,lights",9.6,601.4,0
L0185,"pump,fridge",8.5,594.7,1
L0186,"pump,lights",8.3,641.2,1
L0187,pump,8.1,586.8,1
L0188,"lights,fridge,TV",6.4,380.7,0
L0189,"pump,fridge",8.5,651.1,1
L0190,"AC,fridge",10.3,596.8,1
L0191,"AC,fridge",9.5,466.1,1
L0192,"pump,lights",7.6,524.7,1
L0193,"AC,fridge,lights",10.6,564.2,0
L0194,pump,8.9,526.2,1
L0195,pump,7.0,459.6,1
L0196,pump,8.9,583.6,1
L0197,"lights,fridge",4.2,267.4,0
L0198,lights,1.9,162.1,0
L0199,"pump,AC",13.5,648.2,0
L0200,pump,7.3,576.0,1
L0201,"lights,fridge,TV",5.1,316.2,1
L0202,pump,7.4,542.9,1
L0203,"lights,fridge",4.0,234.0,1
L0204,"AC,fridge,lights",12.1,624.9,0
L0205,"lights,fridge",4.1,267.5,0
L0206,"pump,AC",16.3,779.4,0
L0207,"lights,fridge,TV",5.0,296.7,1
L0208,"pump,lights",7.9,569.3,0
L0209,"lights,TV",3.1,200.0,1
L0210,"lights,fridge",4.5,320.3,1
L0211,"lights,fridge,TV",5.0,297.6,1
L0212,"pump,lights",10.0,686.2,1
L0213,pump,6.9,521.8,1
L0214,"pump,lights",10.6,761.8,1
L0215,"pump,lights",8.9,673.3,1
L0216,"pump,lights",9.9,634.2,1
L0217,pump,9.4,621.7,0
L0218,"lights,fridge,TV",5.3,299.9,0
L0219,"lights,TV",2.4,141.5,0
L0220,"lights,fridge",5.0,312.9,1
L0221,"lights,TV",2.4,144.5,1
L0222,lights,1.6,146.1,0
L0223,"AC,fridge",11.4,553.3,0
L0224,"pump,fridge",10.4,745.7,0
L0225,pump,7.0,424.7,1
L0226,"AC,fridge,lights",13.0,657.4,1
L0227,"lights,fridge",4.8,310.1,1
L0228,"lights,fridge",4.3,301.8,1
L0229,"lights,fridge,TV",5.8,383.6,0
L0230,pump,8.5,604.0,0
L0231,"lights,fridge,TV",5.5,310.7,0
L0232,"lights,fridge,TV",5.7,351.3,0
L0233,"lights,TV",2.5,166.2,1
L0234,"lights,fridge",5.1,266.3,1
L0235,pump,6.6,384.7,1
L0236,"pump,AC",13.4,757.9,1
L0237,"lights,TV",2.7,170.5,0
L0238,"pump,fridge",10.3,736.3,1
L0239,"pump,lights",8.4,548.7,1
L0240,"lights,fridge,TV",5.6,285.7,1
L0241,"lights,fridge,TV",5.8,320.7,0
L0242,"lights,fridge",4.7,286.2,0
L0243,"lights,fridge,TV",4.5,287.0,1
L0244,"lights,fridge",4.5,278.8,0
L0245,pump,8.2,548.6,1
L0246,"pump,lights",8.9,590.1,1
L0247,"AC,fridge",10.7,594.6,0
L0248,"pump,lights",11.2,722.5,1
L0249,"AC,fridge,lights",12.2,713.4,0
L0250,pump,9.3,644.1,1
L0251,"pump,AC",12.2,671.7,1
L0252,lights,1.5,148.7,1
L0253,"pump,lights",7.7,618.7,1
L0254,"pump,fridge",8.0,589.4,1
L0255,"lights,fridge",3.4,222.9,1
L0256,"AC,fridge,lights",11.5,569.4,0
L0257,"pump,lights",7.8,551.4,1
L0258,pump,7.5,494.1,1
L0259,"lights,fridge",4.0,216.5,1
L0260,"pump,fridge",10.9,664.1,0
L0261,lights,1.4,128.1,0
L0262,"lights,fridge,TV",5.3,317.0,1
L0263,"pump,fridge",8.4,580.9,1
L0264,"lights,fridge",4.8,295.3,1
L0265,"lights,fridge,TV",4.7,270.6,1
L0266,"pump,AC",14.4,741.9,1
L0267,"lights,fridge,TV",5.2,267.1,0
L0268,"lights,fridge,TV",5.8,344.7,0
L0269,"lights,fridge",5.0,359.4,0
L0270,"lights,fridge",3.6,253.7,0
L0271,"lights,fridge,TV",6.4,358.2,0
L0272,"lights,fridge,TV",5.8,294.8,1
L0273,"AC,fridge,lights",13.7,695.9,0
L0274,"pump,lights",11.4,551.6,0
L0275,"lights,fridge",4.6,295.0,1
L0276,"lights,fridge",4.3,225.1,1
L0277,"pump,lights",8.9,544.2,0
L0278,"pump,AC",15.2,739.8,1
L0279,pump,7.9,520.7,1
L0280,"pump,AC",16.6,688.1,1
L0281,"pump,lights",9.2,585.4,1
L0282,"lights,fridge",4.4,285.0,0
L0283,pump,6.9,541.5,1
L0284,"lights,fridge,TV",6.2,359.4,0
L0285,"lights,TV",2.2,150.7,0
L0286,"pump,lights",7.7,576.3,1
L0287,"lights,TV",2.1,145.2,1
L0288,pump,8.1,591.5,0
L0289,"pump,lights",9.4,593.2,1
L0290,"lights,fridge,TV",5.2,273.6,1
L0291,"pump,lights",8.1,506.1,0
L0292,"pump,lights",6.7,455.7,0
L0293,"lights,fridge",5.2,327.4,0
L0294,"lights,fridge,TV",5.7,295.8,1
L0295,"lights,fridge",4.7,274.4,1
L0296,"lights,fridge",4.5,303.6,1
L0297,lights,1.8,132.6,1
L0298,"pump,lights",11.4,763.2,1
L0299,"lights,fridge",4.4,315.3,0
L0300,"lights,fridge",5.0,323.4,0
