lead_id,village,distance_from_darab_km,property_type,usage_purpose,electricity_access,lead_source,required_appliances,estimated_daily_energy_need_kwh,quoted_price_m_toman,purchased
L0149,Nidshahr,4.7,garden_house,seasonal_garden,unstable,instagram,"lights,fridge,TV",6.4,375.5,0
L0150,Sangcharak,5.1,garden_house,seasonal_garden,none,referral,lights,2.1,158.8,0
L0151,Jamsi,22.0,farm,agriculture,unstable,referral,pump,8.0,570.6,1
L0152,Khosouyeh,42.1,garden_house,mixed_use,unstable,instagram,"AC,fridge",9.8,455.4,0
L0153,Shahanan,7.8,farm,agriculture,unstable,referral,"pump,fridge",11.2,696.1,0
L0154,Nidshahr,6.0,rural_house,primary_residence,none,referral,"AC,fridge,lights",11.9,615.4,1
L0155,Dabiran,66.4,garden_house,,none,referral,"lights,fridge,TV",5.1,292.4,1
L0156,Sangcharak,8.3,farm,agriculture,none,instagram,"pump,fridge",10.4,707.1,0
L0157,Shamsabad,17.0,garden_house,mixed_use,none,referral,"lights,fridge",4.4,274.6,1
L0158,Sangcharak,5.6,rural_house,mixed_use,none,referral,"AC,fridge",10.6,620.8,0
L0159,Hasan Abad,12.2,garden_house,mixed_use,none,referral,"lights,fridge",4.4,290.8,1
L0160,Dabiran,69.4,farm,primary_residence,none,returning_customer,pump,9.0,637.4,1
L0161,Dabiran,70.7,farm,agriculture,none,referral,pump,10.0,627.5,1
L0162,Layzangan,82.2,farm,agriculture,unstable,referral,"pump,lights",8.1,592.0,1
L0163,Bargan,8.8,rural_house,mixed_use,none,instagram,"lights,fridge",5.5,332.2,1
L0164,Dabiran,71.4,garden_house,seasonal_garden,none,local_ad,"lights,fridge",4.2,290.1,0
L0165,Jamsi,18.4,farm,agriculture,unstable,instagram,"pump,lights",8.2,610.0,0
L0166,Jamsi,14.2,farm,agriculture,none,referral,"pump,fridge",11.1,833.9,1
L0167,Morvarid,33.5,rural_house,primary_residence,none,local_ad,"lights,fridge",5.3,314.8,0
L0168,Khosouyeh,42.1,farm,seasonal_garden,unstable,referral,"pump,lights",7.6,568.4,1
L0169,Shahanan,8.0,rural_house,primary_residence,unstable,referral,"lights,fridge,TV",6.4,336.2,0
L0170,Nidshahr,6.1,garden_house,seasonal_garden,unstable,instagram,"AC,fridge",10.7,556.4,0
L0171,Bargan,5.5,farm,primary_residence,none,returning_customer,"pump,fridge",10.1,722.3,1
L0172,Hasan Abad,16.1,farm,agriculture,none,instagram,"pump,lights",9.9,639.2,1
L0173,Hasan Abad,14.5,farm,agriculture,none,referral,"pump,fridge",11.5,833.4,1
L0174,Pasakhan,26.8,farm,agriculture,none,referral,"pump,fridge",10.1,612.3,1
L0175,Jannat Shahr,24.8,garden_house,seasonal_garden,none,referral,lights,2.1,190.8,0
L0176,Shahanan,11.7,farm,mixed_use,unstable,local_ad,"pump,lights",7.7,523.7,1
L0177,Dabiran,69.3,garden_house,seasonal_garden,none,returning_customer,"lights,TV",2.4,175.7,1
L0178,Tizab,14.3,farm,agriculture,none,referral,"pump,lights",8.0,496.1,1
L0179,Nidshahr,1.5,farm,seasonal_garden,unstable,referral,"lights,fridge",3.5,231.2,1
L0180,Banouj,18.1,garden_house,mixed_use,none,returning_customer,"AC,fridge",10.8,585.4,1
L0181,Jamsi,18.8,garden_house,primary_residence,unstable,instagram,"lights,fridge",5.0,256.3,1
L0182,Bargan,11.1,farm,agriculture,none,local_ad,"pump,lights",8.7,581.1,1
L0183,Bakhtajerd,13.3,garden_house,seasonal_garden,unstable,referral,"lights,TV",2.4,134.2,0
L0184,Bakhtajerd,16.2,farm,agriculture,unstable,local_ad,"pump,lights",9.6,601.4,0
L0185,Sangcharak,7.3,garden_house,agriculture,unstable,referral,"pump,fridge",8.5,594.7,1
L0186,Jannat Shahr,24.1,farm,seasonal_garden,none,instagram,"pump,lights",8.3,641.2,1
L0187,Rostaq,64.9,farm,agriculture,none,local_ad,pump,8.1,586.8,1
L0188,Jamsi,17.8,garden_house,seasonal_garden,none,referral,"lights,fridge,TV",6.4,380.7,0
L0189,Banouj,12.7,farm,agriculture,none,instagram,"pump,fridge",8.5,651.1,1
L0190,Tizab,13.6,garden_house,mixed_use,none,referral,"AC,fridge",10.3,596.8,1
L0191,Morvarid,32.2,rural_house,mixed_use,none,referral,"AC,fridge",9.5,466.1,1
L0192,Dabiran,70.9,farm,agriculture,none,instagram,"pump,lights",7.6,524.7,1
L0193,Khosouyeh,46.3,garden_house,seasonal_garden,none,local_ad,"AC,fridge,lights",10.6,564.2,0
L0194,Jamsi,18.5,farm,agriculture,none,referral,pump,8.9,526.2,1
L0195,Badameh,66.7,farm,agriculture,none,referral,pump,7.0,459.6,1
L0196,Bakhtajerd,18.6,farm,agriculture,none,,pump,8.9,583.6,1
L0197,Hasan Abad,15.2,garden_house,seasonal_garden,none,returning_customer,"lights,fridge",4.2,267.4,0
L0198,Tizab,13.8,garden_house,seasonal_garden,unstable,referral,lights,1.9,162.1,0
L0199,Zarrindasht,66.3,farm,mixed_use,none,instagram,"pump,AC",13.5,648.2,0
L0200,Sangcharak,10.9,farm,agriculture,none,local_ad,pump,7.3,576.0,1
L0201,Hasan Abad,12.9,rural_house,primary_residence,none,referral,"lights,fridge,TV",5.1,316.2,1
L0202,Sangcharak,9.1,farm,agriculture,none,local_ad,pump,7.4,542.9,1
L0203,Bargan,11.7,garden_house,mixed_use,none,,"lights,fridge",4.0,234.0,1
L0204,Dabiran,68.3,rural_house,primary_residence,none,referral,"AC,fridge,lights",12.1,624.9,0
L0205,Tizab,17.8,garden_house,seasonal_garden,none,referral,"lights,fridge",4.1,267.5,0
L0206,Tizab,16.6,farm,mixed_use,unstable,referral,"pump,AC",16.3,779.4,0
L0207,Pasakhan,30.9,farm,agriculture,unstable,referral,"lights,fridge,TV",5.0,296.7,1
L0208,Khosouyeh,41.5,rural_house,agriculture,unstable,local_ad,"pump,lights",7.9,569.3,0
L0209,Banouj,14.7,rural_house,primary_residence,none,referral,"lights,TV",3.1,200.0,1
L0210,Banouj,14.8,rural_house,primary_residence,none,local_ad,"lights,fridge",4.5,320.3,1
L0211,Layzangan,81.8,rural_house,primary_residence,none,returning_customer,"lights,fridge,TV",5.0,297.6,1
L0212,Hasan Abad,20.5,farm,agriculture,unstable,returning_customer,"pump,lights",10.0,686.2,1
L0213,Khosouyeh,44.2,farm,agriculture,none,instagram,pump,6.9,521.8,1
L0214,Bakhtajerd,14.4,farm,agriculture,none,,"pump,lights",10.6,761.8,1
L0215,Hasan Abad,11.5,farm,mixed_use,unstable,local_ad,"pump,lights",8.9,673.3,1
L0216,Bakhtajerd,12.9,rural_house,,none,returning_customer,"pump,lights",9.9,634.2,1
L0217,Bakhtajerd,15.4,farm,mixed_use,none,referral,pump,9.4,621.7,0
L0218,Jannat Shahr,20.5,rural_house,seasonal_garden,none,local_ad,"lights,fridge,TV",5.3,299.9,0
L0219,Sangcharak,4.8,garden_house,seasonal_garden,none,referral,"lights,TV",2.4,141.5,0
L0220,Badameh,64.3,rural_house,mixed_use,unstable,returning_customer,"lights,fridge",5.0,312.9,1
L0221,Jamsi,12.7,garden_house,,unstable,referral,"lights,TV",2.4,144.5,1
L0222,Jannat Shahr,23.0,garden_house,seasonal_garden,none,referral,lights,1.6,146.1,0
L0223,Bakhtajerd,13.9,rural_house,mixed_use,unstable,referral,"AC,fridge",11.4,553.3,0
L0224,Badameh,58.6,farm,mixed_use,none,referral,"pump,fridge",10.4,745.7,0
L0225,Shamsabad,18.7,garden_house,agriculture,none,local_ad,pump,7.0,424.7,1
L0226,Tizab,19.8,garden_house,primary_residence,none,referral,"AC,fridge,lights",13.0,657.4,1
L0227,Banouj,13.3,garden_house,seasonal_garden,none,instagram,"lights,fridge",4.8,310.1,1
L0228,Sangcharak,5.3,farm,agriculture,none,instagram,"lights,fridge",4.3,301.8,1
L0229,Bakhtajerd,13.6,farm,seasonal_garden,none,referral,"lights,fridge,TV",5.8,383.6,0
L0230,Morvarid,35.8,farm,mixed_use,none,referral,pump,8.5,604.0,0
L0231,Bakhtajerd,12.2,rural_house,mixed_use,none,instagram,"lights,fridge,TV",5.5,310.7,0
L0232,Hasan Abad,12.1,garden_house,primary_residence,unstable,referral,"lights,fridge,TV",5.7,351.3,0
L0233,Morvarid,32.3,rural_house,primary_residence,unstable,referral,"lights,TV",2.5,166.2,1
L0234,Tizab,15.2,garden_house,seasonal_garden,none,referral,"lights,fridge",5.1,266.3,1
L0235,Layzangan,82.7,farm,agriculture,none,returning_customer,pump,6.6,384.7,1
L0236,Shahanan,9.1,farm,mixed_use,none,instagram,"pump,AC",13.4,757.9,1
L0237,Jamsi,17.5,garden_house,seasonal_garden,none,local_ad,"lights,TV",2.7,170.5,0
L0238,Banouj,10.5,farm,primary_residence,none,referral,"pump,fridge",10.3,736.3,1
L0239,Shahanan,8.3,farm,mixed_use,none,referral,"pump,lights",8.4,548.7,1
L0240,Shahanan,7.3,rural_house,primary_residence,none,local_ad,"lights,fridge,TV",5.6,285.7,1
L0241,Pasakhan,27.3,garden_house,seasonal_garden,none,referral,"lights,fridge,TV",5.8,320.7,0
L0242,Morvarid,37.6,farm,seasonal_garden,none,local_ad,"lights,fridge",4.7,286.2,0
L0243,Pasakhan,24.6,garden_house,mixed_use,none,referral,"lights,fridge,TV",4.5,287.0,1
L0244,Banouj,18.4,garden_house,seasonal_garden,none,instagram,"lights,fridge",4.5,278.8,0
L0245,Tizab,14.6,garden_house,agriculture,unstable,referral,pump,8.2,548.6,1
L0246,Morvarid,31.3,farm,agriculture,none,returning_customer,"pump,lights",8.9,590.1,1
L0247,Khosouyeh,41.9,rural_house,seasonal_garden,none,instagram,"AC,fridge",10.7,594.6,0
L0248,Rostaq,70.9,farm,agriculture,none,referral,"pump,lights",11.2,722.5,1
L0249,Pasakhan,24.3,garden_house,seasonal_garden,unstable,instagram,"AC,fridge,lights",12.2,713.4,0
L0250,Pasakhan,26.0,farm,agriculture,none,referral,pump,9.3,644.1,1
L0251,Layzangan,79.6,farm,mixed_use,unstable,local_ad,"pump,AC",12.2,671.7,1
L0252,Pasakhan,25.3,rural_house,mixed_use,none,referral,lights,1.5,148.7,1
L0253,Jamsi,17.8,farm,agriculture,none,local_ad,"pump,lights",7.7,618.7,1
L0254,Shahanan,8.4,farm,mixed_use,none,instagram,"pump,fridge",8.0,589.4,1
L0255,Shahanan,9.4,farm,agriculture,unstable,local_ad,"lights,fridge",3.4,222.9,1
L0256,Madavan,29.2,garden_house,seasonal_garden,unstable,referral,"AC,fridge,lights",11.5,569.4,0
L0257,Madavan,35.2,farm,agriculture,none,referral,"pump,lights",7.8,551.4,1
L0258,Tizab,15.1,farm,agriculture,none,referral,pump,7.5,494.1,1
L0259,Shahanan,7.6,garden_house,seasonal_garden,unstable,referral,"lights,fridge",4.0,216.5,1
L0260,Shamsabad,18.6,farm,mixed_use,unstable,referral,"pump,fridge",10.9,664.1,0
L0261,Sangcharak,4.6,garden_house,seasonal_garden,none,referral,lights,1.4,128.1,0
L0262,Shamsabad,18.8,garden_house,mixed_use,none,referral,"lights,fridge,TV",5.3,317.0,1
L0263,Banouj,14.1,garden_house,,none,referral,"pump,fridge",8.4,580.9,1
L0264,Shamsabad,16.4,garden_house,seasonal_garden,none,,"lights,fridge",4.8,295.3,1
L0265,Jannat Shahr,19.0,farm,,unstable,local_ad,"lights,fridge,TV",4.7,270.6,1
L0266,Tizab,16.6,farm,seasonal_garden,none,,"pump,AC",14.4,741.9,1
L0267,Khosouyeh,42.2,farm,seasonal_garden,unstable,referral,"lights,fridge,TV",5.2,267.1,0
L0268,Madavan,33.8,garden_house,seasonal_garden,unstable,instagram,"lights,fridge,TV",5.8,344.7,0
L0269,Madavan,31.0,rural_house,seasonal_garden,none,referral,"lights,fridge",5.0,359.4,0
L0270,Hasan Abad,15.4,garden_house,seasonal_garden,none,instagram,"lights,fridge",3.6,253.7,0
L0271,Shamsabad,17.3,rural_house,seasonal_garden,unstable,local_ad,"lights,fridge,TV",6.4,358.2,0
L0272,Dabiran,72.3,farm,agriculture,unstable,local_ad,"lights,fridge,TV",5.8,294.8,1
L0273,Jamsi,13.2,garden_house,seasonal_garden,none,referral,"AC,fridge,lights",13.7,695.9,0
L0274,Tizab,16.5,garden_house,agriculture,unstable,local_ad,"pump,lights",11.4,551.6,0
L0275,Nidshahr,8.3,garden_house,,none,,"lights,fridge",4.6,295.0,1
L0276,Shamsabad,14.4,garden_house,mixed_use,none,referral,"lights,fridge",4.3,225.1,1
L0277,Shahanan,11.9,farm,agriculture,none,referral,"pump,lights",8.9,544.2,0
L0278,Dabiran,66.6,farm,agriculture,none,instagram,"pump,AC",15.2,739.8,1
L0279,Hasan Abad,15.7,farm,mixed_use,none,referral,pump,7.9,520.7,1
L0280,Tizab,17.7,farm,seasonal_garden,none,instagram,"pump,AC",16.6,688.1,1
L0281,Banouj,14.7,farm,agriculture,none,referral,"pump,lights",9.2,585.4,1
L0282,Badameh,63.5,rural_house,mixed_use,unstable,instagram,"lights,fridge",4.4,285.0,0
L0283,Dabiran,68.0,farm,agriculture,none,local_ad,pump,6.9,541.5,1
L0284,Rostaq,69.5,garden_house,seasonal_garden,none,instagram,"lights,fridge,TV",6.2,359.4,0
L0285,Madavan,30.4,garden_house,mixed_use,none,,"lights,TV",2.2,150.7,0
L0286,Jamsi,13.6,farm,agriculture,unstable,instagram,"pump,lights",7.7,576.3,1
L0287,Badameh,63.4,garden_house,seasonal_garden,unstable,,"lights,TV",2.1,145.2,1
L0288,Nidshahr,11.8,farm,agriculture,none,referral,pump,8.1,591.5,0
L0289,Shamsabad,15.0,farm,agriculture,unstable,referral,"pump,lights",9.4,593.2,1
L0290,Bakhtajerd,12.7,garden_house,seasonal_garden,unstable,referral,"lights,fridge,TV",5.2,273.6,1
L0291,Sangcharak,12.5,farm,seasonal_garden,none,instagram,"pump,lights",8.1,506.1,0
L0292,Madavan,27.5,farm,agriculture,none,referral,"pump,lights",6.7,455.7,0
L0293,Pasakhan,27.7,garden_house,,none,instagram,"lights,fridge",5.2,327.4,0
L0294,Banouj,19.6,garden_house,seasonal_garden,none,local_ad,"lights,fridge,TV",5.7,295.8,1
L0295,Hasan Abad,13.3,rural_house,seasonal_garden,none,referral,"lights,fridge",4.7,274.4,1
L0296,Madavan,31.6,rural_house,seasonal_garden,none,referral,"lights,fridge",4.5,303.6,1
L0297,Hasan Abad,13.3,rural_house,primary_residence,none,instagram,lights,1.8,132.6,1
L0298,Banouj,18.0,farm,,none,referral,"pump,lights",11.4,763.2,1
L0299,Morvarid,30.2,garden_house,mixed_use,unstable,referral,"lights,fridge",4.4,315.3,0
L0300,Zarrindasht,69.4,garden_house,seasonal_garden,unstable,referral,"lights,fridge",5.0,323.4,0
