,lead_id,village,distance_from_darab_km,property_type,usage_purpose,electricity_access,lead_source,required_appliances,estimated_daily_energy_need_kwh,quoted_price_m_toman,purchased,purchase_probability,lead_score,priority_level
148,L0149,Nidshahr,4.7,garden_house,seasonal_garden,unstable,instagram,"lights,fridge,TV",6.4,375.5,0,0.2568693958326523,25.7,Low
149,L0150,Sangcharak,5.1,garden_house,seasonal_garden,none,referral,lights,2.1,158.8,0,0.32917285341751856,32.9,Low
150,L0151,Jamsi,22.0,farm,agriculture,unstable,referral,pump,8.0,570.6,1,0.8402069947600412,84.0,High
151,L0152,Khosouyeh,42.1,garden_house,mixed_use,unstable,instagram,"AC,fridge",9.8,455.4,0,0.2707800967537448,27.1,Low
152,L0153,Shahanan,7.8,farm,agriculture,unstable,referral,"pump,fridge",11.2,696.1,0,0.7989010916880284,79.9,High
153,L0154,Nidshahr,6.0,rural_house,primary_residence,none,referral,"AC,fridge,lights",11.9,615.4,1,0.6105050922962741,61.1,Medium
154,L0155,Dabiran,66.4,garden_house,,none,referral,"lights,fridge,TV",5.1,292.4,1,0.656097835101977,65.6,Medium
155,L0156,Sangcharak,8.3,farm,agriculture,none,instagram,"pump,fridge",10.4,707.1,0,0.7554916628666408,75.5,High
156,L0157,Shamsabad,17.0,garden_house,mixed_use,none,referral,"lights,fridge",4.4,274.6,1,0.709315786969754,70.9,High
157,L0158,Sangcharak,5.6,rural_house,mixed_use,none,referral,"AC,fridge",10.6,620.8,0,0.6303425929668547,63.0,Medium
158,L0159,Hasan Abad,12.2,garden_house,mixed_use,none,referral,"lights,fridge",4.4,290.8,1,0.7198780408963966,72.0,High
159,L0160,Dabiran,69.4,farm,primary_residence,none,returning_customer,pump,9.0,637.4,1,0.7743033860273593,77.4,High
160,L0161,Dabiran,70.7,farm,agriculture,none,referral,pump,10.0,627.5,1,0.8156492410440633,81.6,High
161,L0162,Layzangan,82.2,farm,agriculture,unstable,referral,"pump,lights",8.1,592.0,1,0.7056639937306712,70.6,High
162,L0163,Bargan,8.8,rural_house,mixed_use,none,instagram,"lights,fridge",5.5,332.2,1,0.6582647738844197,65.8,Medium
163,L0164,Dabiran,71.4,garden_house,seasonal_garden,none,local_ad,"lights,fridge",4.2,290.1,0,0.2948663750065467,29.5,Low
164,L0165,Jamsi,18.4,farm,agriculture,unstable,instagram,"pump,lights",8.2,610.0,0,0.6800902444251289,68.0,Medium
165,L0166,Jamsi,14.2,farm,agriculture,none,referral,"pump,fridge",11.1,833.9,1,0.8525921864805198,85.3,High
166,L0167,Morvarid,33.5,rural_house,primary_residence,none,local_ad,"lights,fridge",5.3,314.8,0,0.5566424542648228,55.7,Medium
167,L0168,Khosouyeh,42.1,farm,seasonal_garden,unstable,referral,"pump,lights",7.6,568.4,1,0.46803624018959844,46.8,Medium
168,L0169,Shahanan,8.0,rural_house,primary_residence,unstable,referral,"lights,fridge,TV",6.4,336.2,0,0.5844379163253266,58.4,Medium
169,L0170,Nidshahr,6.1,garden_house,seasonal_garden,unstable,instagram,"AC,fridge",10.7,556.4,0,0.17298282537123935,17.3,Low
170,L0171,Bargan,5.5,farm,primary_residence,none,returning_customer,"pump,fridge",10.1,722.3,1,0.8048004606143591,80.5,High
171,L0172,Hasan Abad,16.1,farm,agriculture,none,instagram,"pump,lights",9.9,639.2,1,0.7173126962002928,71.7,High
172,L0173,Hasan Abad,14.5,farm,agriculture,none,referral,"pump,fridge",11.5,833.4,1,0.8483516900305802,84.8,High
173,L0174,Pasakhan,26.8,farm,agriculture,none,referral,"pump,fridge",10.1,612.3,1,0.8168801225549763,81.7,High
174,L0175,Jannat Shahr,24.8,garden_house,seasonal_garden,none,referral,lights,2.1,190.8,0,0.3069881222050732,30.7,Low
175,L0176,Shahanan,11.7,farm,mixed_use,unstable,local_ad,"pump,lights",7.7,523.7,1,0.5873680747742085,58.7,Medium
176,L0177,Dabiran,69.3,garden_house,seasonal_garden,none,returning_customer,"lights,TV",2.4,175.7,1,0.44998586526579776,45.0,Medium
177,L0178,Tizab,14.3,farm,agriculture,none,referral,"pump,lights",8.0,496.1,1,0.8189732069204372,81.9,High
178,L0179,Nidshahr,1.5,farm,seasonal_garden,unstable,referral,"lights,fridge",3.5,231.2,1,0.6715280049508362,67.2,Medium
179,L0180,Banouj,18.1,garden_house,mixed_use,none,returning_customer,"AC,fridge",10.8,585.4,1,0.6094387245384184,60.9,Medium
180,L0181,Jamsi,18.8,garden_house,primary_residence,unstable,instagram,"lights,fridge",5.0,256.3,1,0.42269305129020546,42.3,Medium
181,L0182,Bargan,11.1,farm,agriculture,none,local_ad,"pump,lights",8.7,581.1,1,0.7366362621123272,73.7,High
182,L0183,Bakhtajerd,13.3,garden_house,seasonal_garden,unstable,referral,"lights,TV",2.4,134.2,0,0.3839160530058638,38.4,Low
183,L0184,Bakhtajerd,16.2,farm,agriculture,unstable,local_ad,"pump,lights",9.6,601.4,0,0.665502373980643,66.6,Medium
184,L0185,Sangcharak,7.3,garden_house,agriculture,unstable,referral,"pump,fridge",8.5,594.7,1,0.6578297762476982,65.8,Medium
185,L0186,Jannat Shahr,24.1,farm,seasonal_garden,none,instagram,"pump,lights",8.3,641.2,1,0.4266559016179883,42.7,Medium
186,L0187,Rostaq,64.9,farm,agriculture,none,local_ad,pump,8.1,586.8,1,0.7471080609764544,74.7,High
187,L0188,Jamsi,17.8,garden_house,seasonal_garden,none,referral,"lights,fridge,TV",6.4,380.7,0,0.42318908123176774,42.3,Medium
188,L0189,Banouj,12.7,farm,agriculture,none,instagram,"pump,fridge",8.5,651.1,1,0.7650056611072955,76.5,High
189,L0190,Tizab,13.6,garden_house,mixed_use,none,referral,"AC,fridge",10.3,596.8,1,0.5418418437958751,54.2,Medium
190,L0191,Morvarid,32.2,rural_house,mixed_use,none,referral,"AC,fridge",9.5,466.1,1,0.5642332029357866,56.4,Medium
191,L0192,Dabiran,70.9,farm,agriculture,none,instagram,"pump,lights",7.6,524.7,1,0.6445493547309625,64.5,Medium
192,L0193,Khosouyeh,46.3,garden_house,seasonal_garden,none,local_ad,"AC,fridge,lights",10.6,564.2,0,0.2269035151538433,22.7,Low
193,L0194,Jamsi,18.5,farm,agriculture,none,referral,pump,8.9,526.2,1,0.8610619012938926,86.1,High
194,L0195,Badameh,66.7,farm,agriculture,none,referral,pump,7.0,459.6,1,0.8259730969441361,82.6,High
195,L0196,Bakhtajerd,18.6,farm,agriculture,none,,pump,8.9,583.6,1,0.8684927694161448,86.8,High
196,L0197,Hasan Abad,15.2,garden_house,seasonal_garden,none,returning_customer,"lights,fridge",4.2,267.4,0,0.5990250073475353,59.9,Medium
197,L0198,Tizab,13.8,garden_house,seasonal_garden,unstable,referral,lights,1.9,162.1,0,0.2664970577195833,26.6,Low
198,L0199,Zarrindasht,66.3,farm,mixed_use,none,instagram,"pump,AC",13.5,648.2,0,0.7611536781355133,76.1,High
199,L0200,Sangcharak,10.9,farm,agriculture,none,local_ad,pump,7.3,576.0,1,0.8192340636628351,81.9,High
200,L0201,Hasan Abad,12.9,rural_house,primary_residence,none,referral,"lights,fridge,TV",5.1,316.2,1,0.6553330409461776,65.5,Medium
201,L0202,Sangcharak,9.1,farm,agriculture,none,local_ad,pump,7.4,542.9,1,0.8144307082602017,81.4,High
202,L0203,Bargan,11.7,garden_house,mixed_use,none,,"lights,fridge",4.0,234.0,1,0.7139114405175294,71.4,High
203,L0204,Dabiran,68.3,rural_house,primary_residence,none,referral,"AC,fridge,lights",12.1,624.9,0,0.501972041573083,50.2,Medium
204,L0205,Tizab,17.8,garden_house,seasonal_garden,none,referral,"lights,fridge",4.1,267.5,0,0.5077722555450338,50.8,Medium
205,L0206,Tizab,16.6,farm,mixed_use,unstable,referral,"pump,AC",16.3,779.4,0,0.8533471841096034,85.3,High
206,L0207,Pasakhan,30.9,farm,agriculture,unstable,referral,"lights,fridge,TV",5.0,296.7,1,0.8133143733793672,81.3,High
207,L0208,Khosouyeh,41.5,rural_house,agriculture,unstable,local_ad,"pump,lights",7.9,569.3,0,0.5219989725235965,52.2,Medium
208,L0209,Banouj,14.7,rural_house,primary_residence,none,referral,"lights,TV",3.1,200.0,1,0.6651107704795315,66.5,Medium
209,L0210,Banouj,14.8,rural_house,primary_residence,none,local_ad,"lights,fridge",4.5,320.3,1,0.6049644908029703,60.5,Medium
210,L0211,Layzangan,81.8,rural_house,primary_residence,none,returning_customer,"lights,fridge,TV",5.0,297.6,1,0.623905331685542,62.4,Medium
211,L0212,Hasan Abad,20.5,farm,agriculture,unstable,returning_customer,"pump,lights",10.0,686.2,1,0.8357070512091324,83.6,High
212,L0213,Khosouyeh,44.2,farm,agriculture,none,instagram,pump,6.9,521.8,1,0.7707154103757172,77.1,High
213,L0214,Bakhtajerd,14.4,farm,agriculture,none,,"pump,lights",10.6,761.8,1,0.8329552166703055,83.3,High
214,L0215,Hasan Abad,11.5,farm,mixed_use,unstable,local_ad,"pump,lights",8.9,673.3,1,0.6058563498952015,60.6,Medium
215,L0216,Bakhtajerd,12.9,rural_house,,none,returning_customer,"pump,lights",9.9,634.2,1,0.7975445197391003,79.8,High
216,L0217,Bakhtajerd,15.4,farm,mixed_use,none,referral,pump,9.4,621.7,0,0.8159736634472537,81.6,High
217,L0218,Jannat Shahr,20.5,rural_house,seasonal_garden,none,local_ad,"lights,fridge,TV",5.3,299.9,0,0.36043478051023076,36.0,Low
218,L0219,Sangcharak,4.8,garden_house,seasonal_garden,none,referral,"lights,TV",2.4,141.5,0,0.4634122889087461,46.3,Medium
219,L0220,Badameh,64.3,rural_house,mixed_use,unstable,returning_customer,"lights,fridge",5.0,312.9,1,0.7240260349451509,72.4,High
220,L0221,Jamsi,12.7,garden_house,,unstable,referral,"lights,TV",2.4,144.5,1,0.6981148233211597,69.8,Medium
221,L0222,Jannat Shahr,23.0,garden_house,seasonal_garden,none,referral,lights,1.6,146.1,0,0.3071867462431692,30.7,Low
222,L0223,Bakhtajerd,13.9,rural_house,mixed_use,unstable,referral,"AC,fridge",11.4,553.3,0,0.5199842826504494,52.0,Medium
223,L0224,Badameh,58.6,farm,mixed_use,none,referral,"pump,fridge",10.4,745.7,0,0.7258311664443015,72.6,High
224,L0225,Shamsabad,18.7,garden_house,agriculture,none,local_ad,pump,7.0,424.7,1,0.6194462160510918,61.9,Medium
225,L0226,Tizab,19.8,garden_house,primary_residence,none,referral,"AC,fridge,lights",13.0,657.4,1,0.5023337208601221,50.2,Medium
226,L0227,Banouj,13.3,garden_house,seasonal_garden,none,instagram,"lights,fridge",4.8,310.1,1,0.37205051939978523,37.2,Low
227,L0228,Sangcharak,5.3,farm,agriculture,none,instagram,"lights,fridge",4.3,301.8,1,0.8429297162394387,84.3,High
228,L0229,Bakhtajerd,13.6,farm,seasonal_garden,none,referral,"lights,fridge,TV",5.8,383.6,0,0.6438081612581317,64.4,Medium
229,L0230,Morvarid,35.8,farm,mixed_use,none,referral,pump,8.5,604.0,0,0.8014662143207871,80.1,High
230,L0231,Bakhtajerd,12.2,rural_house,mixed_use,none,instagram,"lights,fridge,TV",5.5,310.7,0,0.5784894834215863,57.8,Medium
231,L0232,Hasan Abad,12.1,garden_house,primary_residence,unstable,referral,"lights,fridge,TV",5.7,351.3,0,0.5192143029414372,51.9,Medium
232,L0233,Morvarid,32.3,rural_house,primary_residence,unstable,referral,"lights,TV",2.5,166.2,1,0.5774605828743634,57.7,Medium
233,L0234,Tizab,15.2,garden_house,seasonal_garden,none,referral,"lights,fridge",5.1,266.3,1,0.49281785638600356,49.3,Medium
234,L0235,Layzangan,82.7,farm,agriculture,none,returning_customer,pump,6.6,384.7,1,0.8521870103381619,85.2,High
235,L0236,Shahanan,9.1,farm,mixed_use,none,instagram,"pump,AC",13.4,757.9,1,0.8443001951899729,84.4,High
236,L0237,Jamsi,17.5,garden_house,seasonal_garden,none,local_ad,"lights,TV",2.7,170.5,0,0.31627151348570703,31.6,Low
237,L0238,Banouj,10.5,farm,primary_residence,none,referral,"pump,fridge",10.3,736.3,1,0.735357957322855,73.5,High
238,L0239,Shahanan,8.3,farm,mixed_use,none,referral,"pump,lights",8.4,548.7,1,0.7603409154747929,76.0,High
239,L0240,Shahanan,7.3,rural_house,primary_residence,none,local_ad,"lights,fridge,TV",5.6,285.7,1,0.5161399197962052,51.6,Medium
240,L0241,Pasakhan,27.3,garden_house,seasonal_garden,none,referral,"lights,fridge,TV",5.8,320.7,0,0.401924150135557,40.2,Medium
241,L0242,Morvarid,37.6,farm,seasonal_garden,none,local_ad,"lights,fridge",4.7,286.2,0,0.5362663473706794,53.6,Medium
242,L0243,Pasakhan,24.6,garden_house,mixed_use,none,referral,"lights,fridge,TV",4.5,287.0,1,0.6350396983504698,63.5,Medium
243,L0244,Banouj,18.4,garden_house,seasonal_garden,none,instagram,"lights,fridge",4.5,278.8,0,0.3609555958488491,36.1,Low
244,L0245,Tizab,14.6,garden_house,agriculture,unstable,referral,pump,8.2,548.6,1,0.7003114025597138,70.0,Medium
245,L0246,Morvarid,31.3,farm,agriculture,none,returning_customer,"pump,lights",8.9,590.1,1,0.8564688053750236,85.6,High
246,L0247,Khosouyeh,41.9,rural_house,seasonal_garden,none,instagram,"AC,fridge",10.7,594.6,0,0.22999414458439976,23.0,Low
247,L0248,Rostaq,70.9,farm,agriculture,none,referral,"pump,lights",11.2,722.5,1,0.7540856533082678,75.4,High
248,L0249,Pasakhan,24.3,garden_house,seasonal_garden,unstable,instagram,"AC,fridge,lights",12.2,713.4,0,0.2106165126505947,21.1,Low
249,L0250,Pasakhan,26.0,farm,agriculture,none,referral,pump,9.3,644.1,1,0.8667884868300527,86.7,High
250,L0251,Layzangan,79.6,farm,mixed_use,unstable,local_ad,"pump,AC",12.2,671.7,1,0.7248276458762045,72.5,High
251,L0252,Pasakhan,25.3,rural_house,mixed_use,none,referral,lights,1.5,148.7,1,0.5884478261176849,58.8,Medium
252,L0253,Jamsi,17.8,farm,agriculture,none,local_ad,"pump,lights",7.7,618.7,1,0.7503316963720316,75.0,High
253,L0254,Shahanan,8.4,farm,mixed_use,none,instagram,"pump,fridge",8.0,589.4,1,0.6801849060179606,68.0,Medium
254,L0255,Shahanan,9.4,farm,agriculture,unstable,local_ad,"lights,fridge",3.4,222.9,1,0.8035920418468775,80.4,High
255,L0256,Madavan,29.2,garden_house,seasonal_garden,unstable,referral,"AC,fridge,lights",11.5,569.4,0,0.292553135979075,29.3,Low
256,L0257,Madavan,35.2,farm,agriculture,none,referral,"pump,lights",7.8,551.4,1,0.8084715764477488,80.8,High
257,L0258,Tizab,15.1,farm,agriculture,none,referral,pump,7.5,494.1,1,0.8720754173759275,87.2,High
258,L0259,Shahanan,7.6,garden_house,seasonal_garden,unstable,referral,"lights,fridge",4.0,216.5,1,0.448833567248927,44.9,Medium
259,L0260,Shamsabad,18.6,farm,mixed_use,unstable,referral,"pump,fridge",10.9,664.1,0,0.7038644429054918,70.4,High
260,L0261,Sangcharak,4.6,garden_house,seasonal_garden,none,referral,lights,1.4,128.1,0,0.3342343698816643,33.4,Low
261,L0262,Shamsabad,18.8,garden_house,mixed_use,none,referral,"lights,fridge,TV",5.3,317.0,1,0.6380212336317611,63.8,Medium
262,L0263,Banouj,14.1,garden_house,,none,referral,"pump,fridge",8.4,580.9,1,0.7019814449484151,70.2,High
263,L0264,Shamsabad,16.4,garden_house,seasonal_garden,none,,"lights,fridge",4.8,295.3,1,0.5045834375169023,50.5,Medium
264,L0265,Jannat Shahr,19.0,farm,,unstable,local_ad,"lights,fridge,TV",4.7,270.6,1,0.7318791021064588,73.2,High
265,L0266,Tizab,16.6,farm,seasonal_garden,none,,"pump,AC",14.4,741.9,1,0.7778205980079086,77.8,High
266,L0267,Khosouyeh,42.2,farm,seasonal_garden,unstable,referral,"lights,fridge,TV",5.2,267.1,0,0.5121024955580645,51.2,Medium
267,L0268,Madavan,33.8,garden_house,seasonal_garden,unstable,instagram,"lights,fridge,TV",5.8,344.7,0,0.22186932914635166,22.2,Low
268,L0269,Madavan,31.0,rural_house,seasonal_garden,none,referral,"lights,fridge",5.0,359.4,0,0.5691432248227876,56.9,Medium
269,L0270,Hasan Abad,15.4,garden_house,seasonal_garden,none,instagram,"lights,fridge",3.6,253.7,0,0.3753705903732852,37.5,Low
270,L0271,Shamsabad,17.3,rural_house,seasonal_garden,unstable,local_ad,"lights,fridge,TV",6.4,358.2,0,0.3039148350181583,30.4,Low
271,L0272,Dabiran,72.3,farm,agriculture,unstable,local_ad,"lights,fridge,TV",5.8,294.8,1,0.6394908971794429,63.9,Medium
272,L0273,Jamsi,13.2,garden_house,seasonal_garden,none,referral,"AC,fridge,lights",13.7,695.9,0,0.3683284942033728,36.8,Low
273,L0274,Tizab,16.5,garden_house,agriculture,unstable,local_ad,"pump,lights",11.4,551.6,0,0.4180155353334062,41.8,Medium
274,L0275,Nidshahr,8.3,garden_house,,none,,"lights,fridge",4.6,295.0,1,0.7999040241754418,80.0,High
275,L0276,Shamsabad,14.4,garden_house,mixed_use,none,referral,"lights,fridge",4.3,225.1,1,0.7031928846643974,70.3,High
276,L0277,Shahanan,11.9,farm,agriculture,none,referral,"pump,lights",8.9,544.2,0,0.8192160820131885,81.9,High
277,L0278,Dabiran,66.6,farm,agriculture,none,instagram,"pump,AC",15.2,739.8,1,0.8255173465236725,82.6,High
278,L0279,Hasan Abad,15.7,farm,mixed_use,none,referral,pump,7.9,520.7,1,0.8159569657596919,81.6,High
279,L0280,Tizab,17.7,farm,seasonal_garden,none,instagram,"pump,AC",16.6,688.1,1,0.6073617701191907,60.7,Medium
280,L0281,Banouj,14.7,farm,agriculture,none,referral,"pump,lights",9.2,585.4,1,0.8197306400875964,82.0,High
281,L0282,Badameh,63.5,rural_house,mixed_use,unstable,instagram,"lights,fridge",4.4,285.0,0,0.51124471192596,51.1,Medium
282,L0283,Dabiran,68.0,farm,agriculture,none,local_ad,pump,6.9,541.5,1,0.7507932985980565,75.1,High
283,L0284,Rostaq,69.5,garden_house,seasonal_garden,none,instagram,"lights,fridge,TV",6.2,359.4,0,0.22083884538215715,22.1,Low
284,L0285,Madavan,30.4,garden_house,mixed_use,none,,"lights,TV",2.2,150.7,0,0.6387517752796749,63.9,Medium
285,L0286,Jamsi,13.6,farm,agriculture,unstable,instagram,"pump,lights",7.7,576.3,1,0.6875028174004867,68.8,Medium
286,L0287,Badameh,63.4,garden_house,seasonal_garden,unstable,,"lights,TV",2.1,145.2,1,0.3123989537378959,31.2,Low
287,L0288,Nidshahr,11.8,farm,agriculture,none,referral,pump,8.1,591.5,0,0.8813827686384225,88.1,High
288,L0289,Shamsabad,15.0,farm,agriculture,unstable,referral,"pump,lights",9.4,593.2,1,0.7768213238041967,77.7,High
289,L0290,Bakhtajerd,12.7,garden_house,seasonal_garden,unstable,referral,"lights,fridge,TV",5.2,273.6,1,0.36346483498511134,36.3,Low
290,L0291,Sangcharak,12.5,farm,seasonal_garden,none,instagram,"pump,lights",8.1,506.1,0,0.4133639710261656,41.3,Medium
291,L0292,Madavan,27.5,farm,agriculture,none,referral,"pump,lights",6.7,455.7,0,0.8132614192206261,81.3,High
292,L0293,Pasakhan,27.7,garden_house,,none,instagram,"lights,fridge",5.2,327.4,0,0.6592245545662688,65.9,Medium
293,L0294,Banouj,19.6,garden_house,seasonal_garden,none,local_ad,"lights,fridge,TV",5.7,295.8,1,0.28732388563382066,28.7,Low
294,L0295,Hasan Abad,13.3,rural_house,seasonal_garden,none,referral,"lights,fridge",4.7,274.4,1,0.581837295374865,58.2,Medium
295,L0296,Madavan,31.6,rural_house,seasonal_garden,none,referral,"lights,fridge",4.5,303.6,1,0.5621850076401476,56.2,Medium
296,L0297,Hasan Abad,13.3,rural_house,primary_residence,none,instagram,lights,1.8,132.6,1,0.385699435207445,38.6,Low
297,L0298,Banouj,18.0,farm,,none,referral,"pump,lights",11.4,763.2,1,0.820784967897976,82.1,High
298,L0299,Morvarid,30.2,garden_house,mixed_use,unstable,referral,"lights,fridge",4.4,315.3,0,0.6425612640196352,64.3,Medium
299,L0300,Zarrindasht,69.4,garden_house,seasonal_garden,unstable,referral,"lights,fridge",5.0,323.4,0,0.35531609641133416,35.5,Low
